N,Q,B,Cub (µs),CUDA (µs),Futhark (µs)
256,23,256,34,675,410.0
512,23,256,34,767,401.0
1024,23,256,35,687,424.0
2048,23,256,37,697,425.0
4096,23,256,37,725,418.0
8192,23,256,184,723,384.0
16384,23,256,187,684,411.0
32768,23,256,189,714,429.0
65536,23,256,193,755,461.0
131072,23,256,200,727,533.0
262144,23,256,203,805,746.0
524288,23,256,260,809,1077.0
1048576,23,256,327,930,2338.0
2097152,23,256,2755,3053,4392.0
8388608,23,256,1060,3277,15921.0
16777216,23,256,1611,5767,36229.0
